hour,baseline_batt_in,baseline_batt_out,baseline_ph_in,baseline_ph_out,nuclear_batt_in,nuclear_batt_out,nuclear_ph_in,nuclear_ph_out,optimistic_batt_in,optimistic_batt_out,optimistic_ph_in,optimistic_ph_out,climate change_batt_in,climate change_batt_out,climate change_ph_in,climate change_ph_out,no batteries_batt_in,no batteries_batt_out,no batteries_ph_in,no batteries_ph_out
1,0.4981147489153674,0.6673944078322471,0.15399147325947593,0.82056250250625,0.48786747048543483,0.3896795446038985,0.25171582766858697,0.8248838600097044,0.6378079280640834,0.9218407212559622,0.14826387540354766,0.7414777186224261,0.4569065475902657,0.6320421317471226,0.15494420762333733,0.7981325441923129,0.0026972559589997273,0.0019519372250836927,0.36147333910253493,1.0147075517453523
2,0.5291889545796034,0.6624507317044136,0.17943467175956326,0.8113601022412829,0.5051490167090809,0.38672172489960405,0.27832633459380196,0.8192935691387602,0.6923140042494793,0.9217311241134979,0.17487063888834578,0.7302435037642641,0.4908054703364308,0.6218212392406389,0.18251503346705686,0.7825910124082354,0.002758254162217069,0.0018796005157599505,0.4096310166828929,0.992709321343674
3,0.5066601466869947,0.732618409781254,0.1672205960664974,0.8776867561028595,0.4861505707383955,0.4341603562161392,0.2617580492526681,0.9217487167260062,0.663279983364028,1.024496033869349,0.16429225960387847,0.7897561758549398,0.4668333856276579,0.6760410486313055,0.1678687807031012,0.8328521449877515,0.0026267378123696447,0.0021203304064203376,0.3778922095091613,1.0780238819323351
4,0.4104861438731792,1.071341797756219,0.12857473243974263,1.1056169683326131,0.3924222389975824,0.6826651790888738,0.20774587518358936,1.2829947073052648,0.5287075109126101,1.4887788014866787,0.1257700958027072,0.9919727585094459,0.37041207255315933,0.9660163804004247,0.1255694995363501,1.0244631354457239,0.0020086452999325596,0.0032140325668929734,0.2734143632846211,1.434484332575528
5,0.26322974863555465,1.5501845638787173,0.08493147683883237,1.3662254261926077,0.2527697985018198,1.0374845411700147,0.12449783986508967,1.6389528169612808,0.32933148926251427,2.1280226255912216,0.08406380693424281,1.2153269531401671,0.23586756039036455,1.4212364311128138,0.082186139666432,1.2920622466218978,0.0011561907370031955,0.005089273737941797,0.12623310233069937,1.8845285422514462
6,0.2618716867475384,1.6392146583305687,0.08221058863942526,1.244454103378291,0.2638993366801932,1.119105752164673,0.12845574998930046,1.479727583718479,0.3055689231983522,2.200807303629964,0.07381234512728171,1.0968399595018665,0.21728407534620783,1.5681091649062215,0.073892806566511,1.2418342032227305,0.0009601115035616052,0.006163966796514353,0.10442757702981768,1.9208546863607932
7,0.7072783613772425,1.2805624671187048,0.42090686627061696,0.6303363302370327,0.6002617499372095,0.9217451404339079,0.5830479323132195,0.8099152628118667,0.8283003929470931,1.6433388477711233,0.3690481729473432,0.5394724653775009,0.5833834060587902,1.2098113888164805,0.3579087258436524,0.6502941943685862,0.002821188866560488,0.005105436438144473,0.5930245072148814,1.1453085920053103
8,1.3907931147135002,0.7949198619963919,1.1988751685149344,0.19785911737679693,1.0063806851381552,0.6387964299560834,1.4499228871296623,0.256180773318711,1.7451473030868478,0.9484039984298884,1.0856807636068382,0.17298607775651711,1.2423388534204596,0.7301506590387932,1.0930520809615516,0.2056372527274213,0.005367655166363903,0.0035704631870299985,1.6043557122085605,0.4299940332203697
9,2.0365812755659842,0.5000614494533786,2.0771427772798443,0.0663033468160119,1.32728397375639,0.4327702552537554,2.4062830844502665,0.06914519045391655,2.724497690606762,0.5632887334142033,1.877097939264724,0.0641938410993435,1.890010293012519,0.4408887650899727,1.9814384627212378,0.07063009475760257,0.007106681609107404,0.00231944431386626,2.7431180798833754,0.10782375342001585
10,2.4770041606552096,0.4458084754267855,2.6977294770090623,0.036840355315866706,1.5117168680619444,0.395538160558121,3.086816545880148,0.03594818844535274,3.425714943171397,0.4859930101899412,2.42296149030867,0.035433601305100634,2.333828032723243,0.38438609322953726,2.623038618353092,0.03938052109589434,0.00770714281492307,0.001958902795210692,3.5682959273344372,0.04774060023299042
11,2.7132383507879814,0.4377322116709701,3.031035824251198,0.026525906673899875,1.602162654807088,0.3951433047538249,3.450050282066274,0.024687409377494033,3.8134634472636777,0.4693518677619815,2.7195205426005966,0.025099290809982744,2.5763823779008033,0.37436476504365973,2.9680601230596264,0.028817347670021417,0.007992131321961157,0.0018847320363261353,4.017601384383179,0.03248624621569463
12,2.85853574434086,0.43385011920749583,3.2553076667985437,0.023793557812140712,1.6554612784596914,0.3933862408345721,3.7011687688892065,0.02206364293844493,4.054070535530449,0.4630919872195478,2.9327863850917044,0.022545338251187142,2.730620094616549,0.370078058279138,3.2048907514946494,0.025733836394605265,0.008188279222059981,0.0018561253808087894,4.329857539577291,0.02878612339254265
13,2.9840883802861105,0.42245275097828944,3.469242983827414,0.022813669392136398,1.713323035181217,0.38299283523617517,3.9486200760335413,0.022012264961995792,4.2434901264283225,0.4518933182960862,3.1332147149742884,0.021697643030014372,2.8598217452682095,0.3601398409505277,3.4327536062341504,0.024461297806893878,0.008490370086670716,0.0017888816645422654,4.659539907599065,0.027472657661967593
14,2.9273775496126007,0.40976379689685943,3.2917033422598143,0.026321167784247722,1.716415472749779,0.3664287881225154,3.78775803078435,0.025861302185085096,4.118098789719772,0.44424392911484756,2.9782059192501,0.025478757246409977,2.79092990441541,0.3504286540677418,3.2456229504153575,0.02821451319818718,0.008681300077039437,0.0017163624582691099,4.50337589539305,0.03107847265591515
15,2.4018890740769607,0.42591134476087683,2.4014337517130064,0.05213872862653849,1.521582244616041,0.3612879369425346,2.8196329570742944,0.053707987728068826,3.2483814261411252,0.4806211351519496,2.1649355377843773,0.05224501184426097,2.2465046807831732,0.3710397243059838,2.310534220226237,0.05470362474619942,0.008229470761700722,0.0018013270289719604,3.358993555174319,0.0639758170012916
16,1.4862352547983286,0.7418674298872404,1.2483285695754447,0.3077577585801952,1.0635776930501,0.5348599680001708,1.5441404571861137,0.3857469389537973,1.8885749047675664,0.9138491423007105,1.118126433124089,0.27407683989880777,1.320371999618627,0.68991088099114,1.1307118935227376,0.3129215049840245,0.005708362845059753,0.0032091890982320387,1.7700124467640246,0.5276963286607054
17,0.613831986897944,1.2869994065124544,0.3135805592663767,0.8452982351052908,0.5547815514122643,0.848877559055219,0.4635681172161267,1.0587909005904017,0.7078033185880341,1.7230271936778507,0.268438019184854,0.751475395566789,0.48957176862510016,1.2370692741205098,0.24673964973090765,0.8599305303241079,0.0027190692385727004,0.004749697489884747,0.4763139578128217,1.3324938563437922
18,0.12934769798010817,1.9814850337858196,0.02683594179596593,1.6462610657954992,0.1386547599001972,1.2644445943515723,0.04263980704826041,2.0227234313415354,0.15876965901825776,2.8096669908730267,0.024503942056067474,1.486943241899705,0.10253338772469955,1.9412304662731399,0.023080252427411803,1.649834359893657,0.00040995011885516124,0.0068915274125137625,0.024821160645804904,2.385587288097803
19,0.08639824135759441,2.4070704686046915,0.01817499824310277,1.953862218943072,0.07496396549478823,1.5805223982502192,0.02342424437548804,2.522320923481367,0.1168739527371542,3.4782980390176346,0.018315615584244264,1.7617513896422767,0.07253985143556015,2.2722242215740893,0.01645187405909171,1.8772156522235512,0.00019809617267714513,0.007283568088342035,0.008104058270348793,2.7221356447825134
20,0.10059606439201249,2.047127925241841,0.0198646567981917,1.7579871852385447,0.09269644133263932,1.3641288768545847,0.027485758271237243,2.2885145550858628,0.13064942058358706,2.9814946738176533,0.019437886660770443,1.5976854720024336,0.08559728752078484,1.8757732959736158,0.017916140797082623,1.6405577632926518,0.0002812430400331152,0.005840259638176246,0.01029756879071305,2.3963419511385253
21,0.14538980312934116,1.4555350365401887,0.026204453064805587,1.4999673382978607,0.14801259734629388,0.9144735236700515,0.04049751680001274,1.8510126390314177,0.17686866898054035,2.1309082604831358,0.024623572838621596,1.3771733416658998,0.12741991225198684,1.3350672700802895,0.024203424541545233,1.3970898904610631,0.0006891337797389557,0.004179337024530779,0.028410138947087132,1.9629545154608332
22,0.21828651754390302,1.0318215993208446,0.04034117129545592,1.2568064608313447,0.23310792559258547,0.5991383215067569,0.06806938691498952,1.4311841440276336,0.2607389339442355,1.4964886584664066,0.037172283801182614,1.1652922470496385,0.1964158222597192,0.9628579509102801,0.03856112856120464,1.1899858909199883,0.001263302845761191,0.0031459075965927907,0.07759075218851298,1.5577285282337157
23,0.32734755019482054,0.8381743764726709,0.07871767777078771,1.0767456189869027,0.3392205773270608,0.48769913859862957,0.1279374645947594,1.142770738674842,0.40271752089877383,1.191230821570491,0.07545372596322794,0.9962745612750885,0.3013165936992507,0.7899624085794973,0.07795218877346351,1.0360687275810168,0.0018919083223151811,0.0030979619455980996,0.17923040381008545,1.328117280691805
24,,,,,,,,,,,,,,,,,,,,
